fighter_id,name,elo,fight_count
d897897060f10a3a,Rich Franklin,1084.6824933733544,20
7447e9f28508106a,Mackenzie Dern,1084.667143007097,16
a845f0735bc67405,Jake Matthews,1084.09885260782,23
17734443a833cdf7,Quillan Salkilld,1083.592119983058,5
d9c6f19f958643e9,Bryce Mitchell,1083.5738888898666,12
2e19380f34871c6a,Dominick Reyes,1083.0676717596002,15
4ba8d454f762005d,Zak Cummings,1082.833763363649,14
52ef95b5860fb28c,Jean Silva,1082.5417292168904,7
45f0cc9d18f35137,Chris Gutierrez,1081.333386989141,15
8eb046f83e82bf26,Martin Buday,1081.280565776436,8
99df7d0a2a08a8a8,Jan Blachowicz,1081.1760258395946,22
d1941565abf50b16,Jim Miller,1080.608989117708,47
f77c68bb4be8516d,Yoel Romero,1080.5931677694027,13
fcffee71cff5530e,Forrest Griffin,1080.4096178038944,15
d247691a6c0e9034,Cub Swanson,1080.3865761381678,26
c6aee362c7a7d482,Randy Brown,1080.3005386093828,22
d0f3959b4a9747e6,Jose Aldo,1080.2237061968428,23
58bbef3770bb2dfc,Joel Alvarez,1078.2008420197237,11
8355922d564b152c,Nate Diaz,1078.1220652410655,27
cbd5d3cdd862e90e,Rory MacDonald,1078.1218066659594,13
0e041d43a47d2e4b,Matt Lindland,1078.0108786762892,12
a93f94c923c3a9cb,Christian Leroy Duncan,1077.8299862880947,9
8f6a18831a120817,James Krause,1077.7999192535171,13
b4ad3a06ee4d660c,Alistair Overeem,1077.5781165090505,20
f2925e6db404bf1d,Robbie Lawler,1076.553372314471,25
e8b731feff72294b,Alexa Grasso,1075.9799912312599,15
fcaae0385b514f11,Frank Shamrock,1075.944991718011,5
acff437707625fc7,Yushin Okami,1075.7456578092358,21
06e4245d16fc5315,Ailin Perez,1075.7207294725338,7
2e5c2aa8e4ab9d82,Paulo Costa,1075.6668528131786,12
cedfdf8d423d500c,Pat Miletich,1075.5816600690307,10
f2688492b9a525a3,Frankie Edgar,1075.474571126922,30
e90a2f22417af68e,Azamat Murzakanov,1075.2580134783937,7
8d3273573b85be09,Asu Almabayev,1075.039732133355,7
5b86d491d63890c5,Ludovit Klein,1074.9519866808364,12
5b5307450405abf0,Rick Story,1074.9349481858503,19
e51fcd9cd84c0b93,Michel Prazeres,1074.6384231965733,14
f9ab66e67240db7b,Joselyne Edwards,1074.341074919943,13
0ee783aa00e468f0,Vitor Belfort,1074.2599732416866,26
cc1a8b4b38b92c6d,Montel Jackson,1074.2471441715484,13
98d961097baaf308,Shane Burgos,1074.1680002392823,11
634bb0de2eb043b4,Cristiane Justino,1073.8602644088965,7
2a542ee8a8b83559,Tim Sylvia,1073.828011502427,13
f2477cf43c4975cc,Jonathan Martinez,1073.6813314299977,15
63def5a5662a6917,Junior Dos Santos,1073.5924155670932,23
056c493bbd76a918,Henry Cejudo,1073.2615724482496,16
5d1b7e3dd9e11074,Manel Kape,1073.2405997061603,10
b7b84ccd221be298,Nasrat Haqparast,1073.2189710874873,15
41e83a89929d1327,Jailton Almeida,1072.9456251726233,11
3974fa35c917af1d,Ricardo Lamas,1072.8853704465243,17
887961364be5ceb3,King Green,1072.8575636162532,30
10f3ba6cd2f44a97,Dominick Cruz,1072.7585108735304,10
5e4eec08896c9423,Corey Anderson,1072.6035073292917,15
fe2babf95de24fb1,Raul Rosas Jr.,1072.2725903298474,7
6a2f7c151031653d,Rafael Dos Anjos,1072.2158612095413,36
34f88592c0ab7a54,Elias Theodorou,1071.9354522443864,11
effd9de9937996f8,Tyron Woodley,1071.9133122986157,16
b9706f80d005036c,Ketlen Vieira,1071.8247734739227,15
2f815ed5f8278ba6,Ateba Gautier,1071.2456487220536,5
4bd6b4800070b069,Chas Skelly,1071.1193048846458,12
af62f99eb7606308,Erik Perez,1071.0319038936943,9
193b9d1858bc4df3,Dan Hooker,1070.7382223724906,24
8f5c8850b2484173,Mairbek Taisumov,1070.6983503287306,9
28f3c2258a1d8874,John Hathaway,1070.6401095116205,9
e872e9a9a902c045,Katlyn Cerminara,1070.358001849019,17
c41d426cc7326d1b,Yan Xiaonan,1070.2382241695846,13
cbb682f5fcc44bfc,Anthony Pettis,1070.0981223870822,20
c670aa48827d6be6,Dan Severn,1069.3063567953561,13
ad3f53c454cbbead,Josh Barnett,1069.129315388086,10
f166e93d04a8c274,Diego Lopes,1069.0535542745424,9
20bccc9bb4ceb23e,Melquizael Costa,1068.7777350265183,10
71171fc96445bf65,Vitor Petrino,1068.5063441112763,9
4682bc59d5f55145,Sean Woodson,1067.9084661268346,10
92a9aa9c93192871,Darren Elkins,1067.582287480237,30
595db60957de51d3,Michel Pereira,1066.9816858030172,15
94527830000ab715,Rani Yahya,1066.7433458754297,21
bf2c8e01b07d3eb1,Myktybek Orolbai,1066.5788148578142,6
4e06913c91da5200,Krzysztof Jotko,1066.2945301923003,17
239d8e5359022f3b,Kevin Vallejos,1066.0684910221053,4
2e7878927067fdca,Manuel Torres,1066.0455485817445,6
447f9858ae78f921,Muslim Salikhov,1066.0015463679579,14
285ae0b4a68221f4,JunYong Park,1065.9866359337154,13
009341ed974bad72,Jiri Prochazka,1065.8642265422698,9
029880cdbf5ca089,Sean Sherk,1065.6058895154388,12
b5b684eac99ae0a3,Chad Mendes,1065.5386871967214,14
7ea1f74cef32f906,Rashid Magomedov,1065.2535064830954,6
3253b16d38ae087d,Julianna Pena,1065.1125596053505,12
2924886ee9c4c527,Thiago Silva,1064.622262560156,12
def8166ff24bd237,Brian Ortega,1064.5744138346627,14
792be9a24df82ed6,Brandon Moreno,1064.4884498126607,20
cffb87059e645bd1,Denise Gomes,1064.4352876055598,8
480779d7f9a424d3,Mairon Santos,1064.4157273714475,4
52c2ae6d2f2d2613,Youssef Zalal,1064.3901292587316,13
850266b3dc4e506e,Daniel Marcos,1064.3507394501607,7
681399317dbf4701,Uros Medic,1064.1988243954356,10
d910665038efc639,Carla Esparza,1064.109966806825,16
23024fdfc966410a,Gilbert Burns,1064.0272503058738,25
8866c6f509c19089,Ryan Hall,1063.8267798230786,6
6e743a33d56bdaa4,Payton Talbott,1063.6128186551462,6
98b80a717b9bda17,Matt Hamill,1063.432207356913,15
8b69839f3555a67b,Martin Kampmann,1063.3195653941355,17
5331b25a60417ffb,Anthony Rocco Martin,1063.3144144831474,15
1d239d571e342453,Germaine de Randamie,1063.3058643777463,10
